Identifiant borne;Nom de la station;Type de connecteur;Statut de disponibilité;Présence câble attaché;Numéro de la voie;Ouverture au service commercial;Nom du réseau de charge;Propriétaire des bornes;Intitulé de la voie;Code postal;Ville;Pays;Coordonnées géographiques
FR*V75*EBELI*66*1*3;RUE DE SEVRES;E/F;Hors communication;Non;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*14*1*3;BOULEVARD DE VAUGIRARD;T3;Disponible;Non;43;Oui;BELIB;;BOULEVARD DE VAUGIRARD;75015;Paris;France;48.840977,2.317465
FR*V75*EBELI*20*1*3;81 RUE DE ROME;E/F;Neutralisé;Non;81;Oui;BELIB;;RUE DE ROME;75017;Paris;France;48.882718,2.319768
FR*V75*EBELI*17*1*1;RUE CHANGARNIER;T2;Disponible;Non;4;Oui;BELIB;;Rue Changarnier;75012;Paris;France;48.8452653,2.4112383
FR*V75*EBELI*35*1*3;AVENUE DE SAXE;E/F;Disponible;Non;10;Oui;BELIB;;AV DE SAXE;75007;Paris;France;48.849911,2.307126
FR*V75*EBELI*35*1*3;AVENUE DE SAXE;T3;Disponible;Non;10;Oui;BELIB;;AV DE SAXE;75007;Paris;France;48.849911,2.307126
FR*V75*EBELI*35*1*1;AVENUE DE SAXE;E/F;Disponible;Non;10;Oui;BELIB;;AV DE SAXE;75007;Paris;France;48.849911,2.307126
FR*V75*EBELI*35*1*2;AVENUE DE SAXE;E/F;Neutralisé;Non;10;Oui;BELIB;;AV DE SAXE;75007;Paris;France;48.849911,2.307126
FR*V75*EBELI*11*1*1;AVENUE PAUL DOUMER;CHAdeMO;Disponible;Oui;24;Oui;BELIB;;AVENUE PAUL DOUMER;75016;Paris;France;48.861016,2.28308
FR*V75*EBELI*59*1*1;AVENUE DE LA PORTE DE VILLIERS;CHAdeMO;Disponible;Oui;2;Oui;BELIB;;AV DE LA PORTE DE VILLIERS;75017;Paris;France;48.883282,2.286938
FR*V75*EBELI*80*1*3;RUE DES POISSONIERS;T2;Disponible;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*80*1*3;RUE DES POISSONIERS;T3;Disponible;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*12*1*3;AVENUE REILLE;T2;En diagnostic;Non;46;Oui;BELIB;;AVENUE REILLE;75014;Paris;France;48.824388,2.336857
FR*V75*EBELI*50*1*3;AVENUE DU MAINE;Combo;Disponible;Oui;173;Oui;BELIB;;AV DU MAINE;75014;Paris;France;48.83086,2.325895
FR*V75*EBELI*21*1*2;RUE DE TOLBIAC;E/F;Occupé;Non;145;Oui;BELIB;;Rue de Tolbiac;75013;Paris;France;48.8260387,2.3581456
FR*V75*EBELI*30*1*3;PLACE DU PANTHEON;T2;Occupé;Non;17;Oui;BELIB;;PLACE DU PANTHEON;75005;Paris;France;48.845715,2.345032
FR*V75*EBELI*51*1*3;BD EDGARD QUINET;E/F;Disponible;Non;9;Oui;BELIB;;BD EDGARD QUINET;75014;Paris;France;48.841198,2.323891
FR*V75*EBELI*51*1*1;BD EDGARD QUINET;Combo;Disponible;Oui;9;Oui;BELIB;;BD EDGARD QUINET;75014;Paris;France;48.841198,2.323891
FR*V75*EBELI*76*1*3;AVENUE HENRI MARTIN;CHAdeMO;Disponible;Oui;101;Oui;BELIB;;AVENUE HENRI MARTIN;75016;Paris;France;48.863602,2.27153
FR*V75*EBELI*97*1*1;Docteur Goujon;Combo;Neutralisé;Oui;5;Oui;BELIB;;Rue Docteur Goujon;75012;Paris;France;48.839947,2.397822
FR*V75*EBELI*89*1*1;RUE ADOLPHE MILLE;T3;Disponible;Non;9;Oui;BELIB;;RUE ADOLPHE MILLE;75019;Paris;France;48.88842,2.388149
FR*V75*EBELI*89*1*1;RUE ADOLPHE MILLE;CHAdeMO;Disponible;Oui;9;Oui;BELIB;;RUE ADOLPHE MILLE;75019;Paris;France;48.88842,2.388149
FR*V75*EBELI*93*1*3;Boulevard Emile Augier;T3;Disponible;Non;12;Oui;BELIB;;Boulevard Emile Augier;75116;Paris;France;48.859184,2.273944
FR*V75*EBELI*58*1*1;RUE DE COURCELLES;CHAdeMO;Occupé;Oui;83;Oui;BELIB;;RUE DE COURCELLES;75017;Paris;France;48.879654,2.302442
FR*V75*EBELI*58*1*3;RUE DE COURCELLES;CHAdeMO;Disponible;Oui;83;Oui;BELIB;;RUE DE COURCELLES;75017;Paris;France;48.879654,2.302442
FR*V75*EBELI*36*1*1;AVENUE BOSQUET;CHAdeMO;Neutralisé;Oui;47;Oui;BELIB;;AV BOSQUET;75007;Paris;France;48.857552,2.30437
FR*V75*EBELI*77*1*1;AVENUE MARCEL DORET;T3;Disponible;Non;4;Oui;BELIB;;AVENUE MARCEL DORET;75016;Paris;France;48.837055,2.259932
FR*V75*EBELI*45*1*2;AVENUE PARMENTIER;E/F;Occupé;Non;4;Oui;BELIB;;AVENUE PARMENTIER;75011;Paris;France;48.858952,2.379874
FR*V75*EBELI*96*1*1;Berbier du Mets;T2;Neutralisé;Non;21;Oui;BELIB;;Rue Berbier du Mets;75013;Paris;France;48.835499,2.34965
FR*V75*EBELI*96*1*3;Berbier du Mets;E/F;Disponible;Non;21;Oui;BELIB;;Rue Berbier du Mets;75013;Paris;France;48.835499,2.34965
FR*V75*EBELI*31*1*2;RUE SAINT JACQUES;E/F;Disponible;Non;32;Oui;BELIB;;RUE SAINT JACQUES;75005;Paris;France;48.85104,2.345493
FR*V75*EBELI*3*1*3;AVENUE DE LA GRANDE ARMEE;T3;Disponible;Non;77;Oui;BELIB;;AVENUE DE LA GRANDE ARMEE;75016;Paris;France;48.876162,2.286403
FR*V75*EBELI*3*1*1;AVENUE DE LA GRANDE ARMEE;E/F;Disponible;Non;77;Oui;BELIB;;AVENUE DE LA GRANDE ARMEE;75016;Paris;France;48.876162,2.286403
FR*V75*EBELI*48*1*2;BD VINCENT AURIOL;E/F;Disponible;Non;137;Oui;BELIB;;BD VINCENT AURIOL;75013;Paris;France;48.832893,2.363025
FR*V75*EBELI*62*1*1;72 RUE DE ROME;CHAdeMO;Occupé;Oui;72;Oui;BELIB;;RUE DE ROME;75008;Paris;France;48.880698,2.321369
FR*V75*EBELI*38*1*3;RUE PERIGNON;Combo;Disponible;Oui;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*78*1*1;BOULEVARD MURAT;CHAdeMO;Neutralisé;Oui;15;Oui;BELIB;;BOULEVARD MURAT;75016;Paris;France;48.846653,2.258213
FR*V75*EBELI*78*1*3;BOULEVARD MURAT;T2;Neutralisé;Non;15;Oui;BELIB;;BOULEVARD MURAT;75016;Paris;France;48.846653,2.258213
FR*V75*EBELI*84*1*1;RUE LOUIS LUMIERE;T2;Occupé;Non;104;Oui;BELIB;;RUE LOUIS LUMIERE;75020;Paris;France;48.863766,2.41177
FR*V75*EBELI*84*1*3;RUE LOUIS LUMIERE;CHAdeMO;Occupé;Oui;104;Oui;BELIB;;RUE LOUIS LUMIERE;75020;Paris;France;48.863766,2.41177
FR*V75*EBELI*71*1*3;234 RUE DE TOLBIAC;T2;Disponible;Non;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*79*1*1;BOULEVARD DE COURCELLES;Combo;Disponible;Oui;12;Oui;BELIB;;BOULEVARD DE COURCELLES;75017;Paris;France;48.881168,2.313751
FR*V75*EBELI*7*1*1;BOULEVARD VOLTAIRE;T3;En diagnostic;Non;206;Oui;BELIB;;Boulevard Voltaire;75011;Paris;France;48.8534452,2.3868802
FR*V75*EBELI*10*1*2;AVENUE DU PÈRE LACHAISE;E/F;Hors communication;Non;13;Oui;BELIB;;AVENUE DU PÈRE LACHAISE;75020;Paris;France;48.86424,2.397724
FR*V75*EBELI*56*1*1;RUE ANTONIN MERCIE;E/F;En diagnostic;Non;2;Oui;BELIB;;Rue Antonin Mercié;75015;Paris;France;48.828454,2.3006428
FR*V75*EBELI*85*1*1;RUE DE BELLEVILLE;Combo;En diagnostic;Oui;6;Oui;BELIB;;RUE DE BELLEVILLE;75020;Paris;France;48.872192,2.377671
FR*V75*EBELI*85*1*3;RUE DE BELLEVILLE;CHAdeMO;En diagnostic;Oui;6;Oui;BELIB;;RUE DE BELLEVILLE;75020;Paris;France;48.872192,2.377671
FR*V75*EBELI*87*1*3;RUE BOULEVARD DU TEMPLE;E/F;Disponible;Non;27;Oui;BELIB;;BOULEVARD DU TEMPLE;75003;Paris;France;48.865097,2.36554
FR*V75*EBELI*19*1*1;RUE DE CRIMEE;T3;Disponible;Non;27;Oui;BELIB;;RUE DE CRIMEE;75019;Paris;France;48.877409,2.392178
FR*V75*EBELI*28*1*1;RUE DE REAUMUR;T3;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*2*1*3;RUE LA FAYETTE;E/F;En diagnostic;Non;137;Oui;BELIB;;RUE LA FAYETTE;75010;Paris;France;48.878897,2.355064
FR*V75*EBELI*33*1*3;RUE DANTON;CHAdeMO;Disponible;Oui;7;Oui;BELIB;;RUE DANTON;75006;Paris;France;48.8524588,2.3414834
FR*V75*EBELI*34*1*3;RUE DE RENNES;CHAdeMO;Hors communication;Oui;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*6*1*1;PLACE ARMAND CARREL;CHAdeMO;Hors communication;Oui;4;Oui;BELIB;;PLACE ARMAND CARREL;75019;Paris;France;48.882794,2.382705
FR*V75*EBELI*57*1*1;AVENUE GOURGAUD;CHAdeMO;En diagnostic;Oui;4;Oui;BELIB;;AV GOURGAUD;75017;Paris;France;48.885689,2.297463
FR*V75*EBELI*26*1*1;RUE ETIENNE MARCEL;CHAdeMO;Disponible;Oui;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*8*1*3;AVENUE DE FLANDRE;T3;Hors communication;Non;10;Oui;BELIB;;Avenue de Flandre;75019;Paris;France;48.8847205,2.3699612
FR*V75*EBELI*8*1*3;AVENUE DE FLANDRE;E/F;Hors communication;Non;10;Oui;BELIB;;Avenue de Flandre;75019;Paris;France;48.8847205,2.3699612
FR*V75*EBELI*60*1*3;AVENUE GAMBETTA;CHAdeMO;Disponible;Oui;227;Oui;BELIB;;AVENUE GAMBETTA;75020;Paris;France;48.874134,2.405196
FR*V75*EBELI*98*1*1;Quai Henry IV;T2;Disponible;Non;4;Oui;BELIB;;quai Henry IV;75004;Paris;France;48.84998,2.36192
FR*V75*EBELI*16*1*3;RUE CAULAINCOURT;T2;Hors communication;Non;103;Oui;BELIB;;RUE CAULAINCOURT;75018;Paris;France;48.889731,2.33891
FR*V75*EBELI*68*1*1;RUE DU FAUBOURG SAINT MARTIN;T2;Disponible;Non;150;Oui;BELIB;;RUE DU FAUBOURG SAINT MARTIN;75010;Paris;France;48.875465,2.360103
FR*V75*EBELI*41*1*3;RUE PIERRE CHARRON;CHAdeMO;Neutralisé;Oui;55;Oui;BELIB;;RUE PIERRE CHARRON;75008;Paris;France;48.86937,2.303269
FR*V75*EBELI*41*1*3;RUE PIERRE CHARRON;T2;Neutralisé;Non;55;Oui;BELIB;;RUE PIERRE CHARRON;75008;Paris;France;48.86937,2.303269
FR*V75*EBELI*20*1*3;81 RUE DE ROME;T3;Neutralisé;Non;81;Oui;BELIB;;RUE DE ROME;75017;Paris;France;48.882718,2.319768
FR*V75*EBELI*32*1*3;RUE MONGE;T2;Disponible;Non;55;Oui;BELIB;;RUE MONGE;75005;Paris;France;48.84477,2.35242
FR*V75*EBELI*32*1*3;RUE MONGE;E/F;Disponible;Non;55;Oui;BELIB;;RUE MONGE;75005;Paris;France;48.84477,2.35242
FR*V75*EBELI*32*1*2;RUE MONGE;E/F;Disponible;Non;55;Oui;BELIB;;RUE MONGE;75005;Paris;France;48.84477,2.35242
FR*V75*EBELI*49*1*1;RUE DIDOT;T2;Disponible;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*86*1*3;RUE ORDENER;T3;Disponible;Non;108;Oui;BELIB;;RUE ORDENER;75018;Paris;France;48.89061,2.35423
FR*V75*EBELI*11*1*1;AVENUE PAUL DOUMER;Combo;Disponible;Oui;24;Oui;BELIB;;AVENUE PAUL DOUMER;75016;Paris;France;48.861016,2.28308
FR*V75*EBELI*1*1*3;Place Saint Gervais;T3;Occupé;Non;4;Oui;BELIB;;PLACE SAINT GERVAIS;75004;Paris;France;48.855667,2.354089
FR*V75*EBELI*5*1*3;AV DUTUIT;T3;Disponible;Non;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*21*1*1;RUE DE TOLBIAC;Combo;En diagnostic;Oui;145;Oui;BELIB;;Rue de Tolbiac;75013;Paris;France;48.8260387,2.3581456
FR*V75*EBELI*76*1*1;AVENUE HENRI MARTIN;Combo;Disponible;Oui;101;Oui;BELIB;;AVENUE HENRI MARTIN;75016;Paris;France;48.863602,2.27153
FR*V75*EBELI*81*1*1;AVENUE DE SAINT OUEN;CHAdeMO;Disponible;Oui;60;Oui;BELIB;;AVENUE DE SAINT OUEN;75018;Paris;France;48.891102,2.327102
FR*V75*EBELI*81*1*3;AVENUE DE SAINT OUEN;T2;Disponible;Non;60;Oui;BELIB;;AVENUE DE SAINT OUEN;75018;Paris;France;48.891102,2.327102
FR*V75*EBELI*9*1*1;AVENUE DES TERNES;T2;Disponible;Non;36;Oui;BELIB;;AVENUE DES TERNES;75017;Paris;France;48.878965,2.293606
FR*V75*EBELI*89*1*3;RUE ADOLPHE MILLE;T3;Disponible;Non;9;Oui;BELIB;;RUE ADOLPHE MILLE;75019;Paris;France;48.88842,2.388149
FR*V75*EBELI*58*1*3;RUE DE COURCELLES;Combo;Disponible;Oui;83;Oui;BELIB;;RUE DE COURCELLES;75017;Paris;France;48.879654,2.302442
FR*V75*EBELI*36*1*2;AVENUE BOSQUET;E/F;Occupé;Non;47;Oui;BELIB;;AV BOSQUET;75007;Paris;France;48.857552,2.30437
FR*V75*EBELI*77*1*1;AVENUE MARCEL DORET;Combo;Disponible;Oui;4;Oui;BELIB;;AVENUE MARCEL DORET;75016;Paris;France;48.837055,2.259932
FR*V75*EBELI*4*1*2;AVENUE VICTOR HUGO;E/F;Disponible;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*63*1*1;BOULEVARD DES CAPUCINES;T3;Disponible;Non;7;Oui;BELIB;;BOULEVARD DES CAPUCINES;75002;Paris;France;48.870628,2.33321
FR*V75*EBELI*63*1*3;BOULEVARD DES CAPUCINES;T3;Disponible;Non;7;Oui;BELIB;;BOULEVARD DES CAPUCINES;75002;Paris;France;48.870628,2.33321
FR*V75*EBELI*3*1*3;AVENUE DE LA GRANDE ARMEE;Combo;Disponible;Oui;77;Oui;BELIB;;AVENUE DE LA GRANDE ARMEE;75016;Paris;France;48.876162,2.286403
FR*V75*EBELI*3*1*3;AVENUE DE LA GRANDE ARMEE;CHAdeMO;Disponible;Oui;77;Oui;BELIB;;AVENUE DE LA GRANDE ARMEE;75016;Paris;France;48.876162,2.286403
FR*V75*EBELI*3*1*1;AVENUE DE LA GRANDE ARMEE;T3;Disponible;Non;77;Oui;BELIB;;AVENUE DE LA GRANDE ARMEE;75016;Paris;France;48.876162,2.286403
FR*V75*EBELI*94*1*3;Rue Baron Leroy;CHAdeMO;Disponible;Oui;54;Oui;BELIB;;Rue Baron Leroy;75013;Paris;France;48.833603,2.389173
FR*V75*EBELI*42*1*3;RUE LOUIS MURAT;E/F;Disponible;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*62*1*1;72 RUE DE ROME;Combo;Occupé;Oui;72;Oui;BELIB;;RUE DE ROME;75008;Paris;France;48.880698,2.321369
FR*V75*EBELI*15*1*3;RUE ABEL;T2;Disponible;Non;2;Oui;BELIB;;Rue Abel;75012;Paris;France;48.846295,2.3748774
FR*V75*EBELI*38*1*3;RUE PERIGNON;T2;Disponible;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*10*1*1;AVENUE DU PÈRE LACHAISE;E/F;Hors communication;Non;13;Oui;BELIB;;AVENUE DU PÈRE LACHAISE;75020;Paris;France;48.86424,2.397724
FR*V75*EBELI*85*1*2;RUE DE BELLEVILLE;E/F;En diagnostic;Non;6;Oui;BELIB;;RUE DE BELLEVILLE;75020;Paris;France;48.872192,2.377671
FR*V75*EBELI*19*1*3;RUE DE CRIMEE;T2;Disponible;Non;27;Oui;BELIB;;RUE DE CRIMEE;75019;Paris;France;48.877409,2.392178
FR*V75*EBELI*28*1*3;RUE DE REAUMUR;T3;Disponible;Non;5;Oui;BELIB;;RUE DE REAUMUR;75003;Paris;France;48.864719,2.359043
FR*V75*EBELI*34*1*1;RUE DE RENNES;CHAdeMO;Hors communication;Oui;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*65*1*1;RUE DE MEDICIS;T3;Hors communication;Non;11;Oui;BELIB;;RUE DE MEDICIS;75006;Paris;France;48.84824,2.339865
FR*V75*EBELI*47*1*3;BOULEVARD MASSENA;Combo;En diagnostic;Oui;107;Oui;BELIB;;BOULEVARD MASSENA;75013;Paris;France;48.820007,2.365661
FR*V75*EBELI*47*1*1;BOULEVARD MASSENA;Combo;En diagnostic;Oui;107;Oui;BELIB;;BOULEVARD MASSENA;75013;Paris;France;48.820007,2.365661
FR*V75*EBELI*60*1*1;AVENUE GAMBETTA;T2;Disponible;Non;227;Oui;BELIB;;AVENUE GAMBETTA;75020;Paris;France;48.874134,2.405196
FR*V75*EBELI*95*1*3;Paris - avenue iena;Combo;Hors communication;Oui;37;Oui;BELIB;;Avenue iena;75016;Paris;France;48.868511,2.295469
FR*V75*EBELI*39*1*3;AVENUE DE VILLARS;T3;Disponible;Non;9;Oui;BELIB;;AVENUE DE VILLARS;75007;Paris;France;48.852665,2.31368
FR*V75*EBELI*66*1*1;RUE DE SEVRES;E/F;Hors communication;Non;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*66*1*3;RUE DE SEVRES;Combo;Hors communication;Oui;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*14*1*3;BOULEVARD DE VAUGIRARD;E/F;Disponible;Non;43;Oui;BELIB;;BOULEVARD DE VAUGIRARD;75015;Paris;France;48.840977,2.317465
FR*V75*EBELI*14*1*1;BOULEVARD DE VAUGIRARD;Combo;Disponible;Oui;43;Oui;BELIB;;BOULEVARD DE VAUGIRARD;75015;Paris;France;48.840977,2.317465
FR*V75*EBELI*20*1*3;81 RUE DE ROME;T2;Neutralisé;Non;81;Oui;BELIB;;RUE DE ROME;75017;Paris;France;48.882718,2.319768
FR*V75*EBELI*49*1*1;RUE DIDOT;E/F;Disponible;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*35*1*3;AVENUE DE SAXE;CHAdeMO;Disponible;Oui;10;Oui;BELIB;;AV DE SAXE;75007;Paris;France;48.849911,2.307126
FR*V75*EBELI*11*1*3;AVENUE PAUL DOUMER;E/F;Disponible;Non;24;Oui;BELIB;;AVENUE PAUL DOUMER;75016;Paris;France;48.861016,2.28308
FR*V75*EBELI*59*1*1;AVENUE DE LA PORTE DE VILLIERS;T3;Disponible;Non;2;Oui;BELIB;;AV DE LA PORTE DE VILLIERS;75017;Paris;France;48.883282,2.286938
